時間 (sec),SN1 ,時間 (sec),SN2 ,時間 (sec),SN3 ,時間 (sec),SN4 
0.00258231,0.0310835,0.0953123,0.438761,0.163917,0.0162717,0.259988,4.25459
0.00477685,0.0641902,0.0978955,1.66654,0.166188,0.0613095,0.295714,52.951
0.00718769,0.360614,0.100406,2.3718,0.168424,0.201493,0.33139,48.5295
0.0100026,1.56474,0.102735,2.88541,0.170637,0.439145,0.364984,45.4126
0.0122398,3.09794,0.105358,3.36974,0.172823,0.606987,0.409413,42.187
0.0143396,4.57869,0.107401,3.72431,0.174998,0.78093,0.436742,40.7211
0.0169479,6.28605,0.110672,4.22725,0.177181,0.941725,0.46817,39.5875
0.0194181,7.87336,0.113101,4.56944,0.179386,1.1057,0.504312,38.9828
0.0214578,9.08671,0.114325,4.72551,0.18159,1.29388,0.545876,38.9515
0.0239724,10.2174,0.116977,5.06173,0.183809,1.47603,0.593674,39.4333
0.0264884,10.9668,0.119846,5.39784,0.186019,1.66633,0.648642,40.6037
0.028672,11.4634,0.12274,5.70502,0.188237,1.84828,0.709106,42.5079
0.0312652,11.982,0.124199,5.853,0.192663,2.24122,0.775617,45.1021
0.0335144,12.4281,0.127379,6.17086,0.194874,2.44454,0.84878,47.8067
0.0358182,12.9194,0.129091,6.3368,0.197091,2.64359,0.929258,50.1413
0.0381174,13.4401,0.132535,6.64822,0.199313,2.85349,1.01778,51.4809
0.0404923,14.0075,0.13427,6.80287,0.201538,3.06464,1.11516,51.6753
0.0428797,14.5636,0.136015,6.95087,0.203763,3.27824,1.22228,51.3416
0.0452838,15.0898,0.139865,7.27786,0.205987,3.49528,1.34011,49.8047
0.0477258,15.593,0.141949,7.45952,0.208216,3.71643,1.46972,47.4772
0.0501227,16.0447,0.144011,7.63207,0.21044,3.94393,1.61229,44.5964
0.0526401,16.4835,0.146094,7.8009,0.212669,4.16926,1.76912,41.2111
0.0556038,16.8529,0.148191,7.96921,0.214901,4.39892,1.94164,37.4772
0.0575985,17.0184,0.150295,8.13818,0.217131,4.63656,2.1314,33.4862
0.0601978,17.1494,0.154514,8.47715,0.219365,4.8731,2.34014,29.356
0.0633755,17.1589,0.156951,8.67798,0.221595,5.11135,2.55097,25.4834
0.0651348,17.1167,0.15932,8.8848,0.226056,5.59987,2.7639,21.9122
0.0667019,17.0722,0.161668,9.20125,0.228293,5.88523,2.97897,18.6685
0.0700179,16.9781,0.163917,9.51681,0.230401,6.15578,3.19618,15.7384
0.0717288,16.9438,0.166188,9.84768,0.232476,6.41436,3.41557,13.2753
0.074567,16.9275,0.168424,10.1197,0.234535,6.66441,3.63716,11.1347
0.0771611,17.0683,0.170637,10.4106,0.236598,6.90966,3.86095,9.28637
0.078689,17.2087,0.172823,10.698,0.238656,7.15206,3.86095,9.28637
0.081522,17.4797,0.174998,10.9839,0.25564,9.07546,3.89439,9.03029
0.0841502,17.7132,0.177181,11.2542,0.259988,10.7516,3.91436,8.8775
0.0867665,17.9234,0.179386,11.5262,0.295714,52.4029,3.93732,8.70933
0.0893012,18.096,0.18159,11.813,0.33139,48.4687,3.96372,8.52006
0.0912785,18.2291,0.183809,12.0945,0.364984,45.8988,3.99408,8.30719
0.0932728,18.534,0.186019,12.3803,0.409413,43.3764,4.029,8.06985
0.0953123,19.3646,0.188237,12.6614,0.436742,42.4134,4.06916,7.80836
0.0978955,20.5313,0.192663,13.2267,0.46817,41.7057,4.11534,7.52078
0.100406,21.6813,0.194874,13.5097,0.504312,41.3669,4.16845,7.20677
0.102735,22.6807,0.197091,13.7927,0.545876,41.5463,4.22687,6.88028
0.105358,23.674,0.199313,14.0771,0.593674,42.3067,4.29113,6.54531
0.107401,24.3339,0.201538,14.364,0.648642,43.8777,4.36182,6.20258
0.110672,25.1895,0.203763,14.6504,0.709106,46.2333,4.43957,5.85369
0.113101,25.683,0.205987,14.939,0.775617,49.1072,4.5251,5.49885
0.114325,25.8903,0.208216,15.2299,0.84878,52.0068,4.61919,5.13966
0.116977,26.2549,0.21044,15.5241,0.929258,54.4028,4.72268,4.77575
0.119846,26.5508,0.212669,15.8185,1.01778,55.5999,4.83652,4.40718
0.12274,26.7717,0.214901,16.1138,1.11516,55.8327,4.96175,4.03457
0.124199,26.86,0.217131,16.413,1.22228,55.5509,5.0995,3.66091
0.127379,27.0161,0.219365,16.7125,1.34011,54.2578,5.25102,3.28751
0.129091,27.09,0.221595,17.0119,1.46972,52.4614,5.4177,2.91629
0.132535,27.235,0.226056,17.6178,1.61229,50.1878,5.60104,2.54989
0.13427,27.3109,0.228293,17.9623,1.76912,47.4405,5.80272,2.19181
0.136015,27.3912,0.230401,18.2973,1.94164,44.243,6.00641,1.87047
0.139865,27.5848,0.232476,18.6182,2.1314,40.6374,6.21214,1.58265
0.141949,27.704,0.234535,18.9232,2.34014,36.6362,6.41993,1.32553
0.144011,27.8344,0.236598,19.2204,2.55097,32.5722,6.6298,1.0966
0.146094,27.9774,0.238656,19.513,2.7639,28.6577,6.84176,0.893727
0.148191,28.1315,0.25564,21.7946,2.97897,24.984,7.05585,0.714863
0.150295,28.2946,0.259988,23.1124,3.19618,22.0874,7.27207,0.557917
0.154514,28.6415,0.295714,49.9275,3.41557,19.4933,7.49046,0.421
0.156951,28.8512,0.33139,48.4498,3.63716,17.0579,7.71103,0.302346
0.15932,29.0562,0.364984,47.6744,3.86095,14.78,7.93381,0.200401
0.161668,29.2769,0.409413,47.0084,3.86095,14.78,8.15882,0.113877
0.163917,29.5156,0.436742,46.6735,3.89439,14.4461,8.38607,0.0418702
0.166188,29.7926,0.46817,46.3523,3.91436,14.254,8.6156,0
0.168424,30.0935,0.504312,46.3228,3.93732,14.1561,8.84742,0
0.170637,30.41,0.545876,46.8609,3.96372,14.0859,9.08156,0
0.172823,30.7353,0.593674,48.0253,3.99408,13.9377,9.31805,0
0.174998,31.0657,0.648642,50.295,4.029,13.7325,9.5569,0
0.177181,31.3969,0.709106,53.2533,4.06916,13.4888,9.79813,0
0.179386,31.7244,0.775617,56.5315,4.11534,13.3034,10.0418,0
0.18159,32.0431,0.84878,59.5657,4.16845,13.2188,10.2879,0
0.183809,32.3548,0.929258,61.9472,4.22687,13.0464,10.5364,0
0.186019,32.6565,1.01778,62.7771,4.29113,12.8458,10.7874,0
0.188237,32.9515,1.11516,62.9723,4.36182,12.6278,11.041,0.00308777
0.192663,33.5221,1.22228,63.1276,4.43957,12.3957,11.2971,0.0150033
0.194874,33.8015,1.34011,62.9652,4.5251,12.1501,11.5557,0.0357581
0.197091,34.0799,1.46972,62.5255,4.61919,11.8916,11.8169,0.0628592
0.199313,34.3587,1.61229,61.9473,4.72268,11.6212,12.0808,0.0951496
0.201538,34.6389,1.76912,61.342,4.83652,11.3404,12.3472,0.131802
0.203763,34.9211,1.94164,60.5898,4.96175,11.0508,12.6164,0.172222
0.205987,35.2058,2.1314,59.7738,5.0995,10.7544,12.8882,0.215987
0.208216,35.4943,2.34014,58.9496,5.25102,10.4539,13.1628,0.262701
0.21044,35.7855,2.55097,58.1388,5.4177,10.1524,13.44,0.311923
0.212669,36.0812,2.7639,57.2372,5.60104,9.853,13.7201,0.363643
0.214901,36.3806,2.97897,56.1684,5.80272,9.56053,14.003,0.417554
0.217131,36.6827,3.19618,54.804,6.00641,9.29998,14.2887,0.473347
0.219365,36.9878,3.41557,53.2127,6.21214,9.06898,14.5772,0.530832
0.221595,37.2945,3.63716,51.6892,6.41993,8.86525,14.8687,0.589832
0.226056,37.9127,3.86095,50.4714,6.6298,8.68674,15.163,0.650189
0.228293,38.2293,3.86095,50.4714,6.84176,8.53132,15.4603,0.711758
0.230401,38.5398,3.89439,50.2342,7.05585,8.39687,15.7606,0.773946
0.232476,38.8586,3.91436,50.0752,7.27207,8.28135,16.0639,0.836892
0.234535,39.1856,3.93732,49.8868,7.49046,8.18278,16.3702,0.900653
0.236598,39.5185,3.96372,49.672,7.71103,8.0995,16.6795,0.965121
0.238656,39.8513,3.99408,49.4266,7.93381,8.03016,16.992,1.03021
0.25564,42.3304,4.029,49.1483,8.15882,7.97322,17.3076,1.09584
0.259988,43.3825,4.06916,48.8386,8.38607,7.92714,17.6263,1.16349
0.295714,49.6616,4.11534,48.4914,8.6156,7.89063,23.7556,0.586414
0.33139,54.6743,4.16845,48.1066,8.84742,7.86241,,
0.364984,58.1758,4.22687,47.6923,9.08156,7.84144,,
0.409413,61.4668,4.29113,47.241,9.31805,7.82686,,
0.436742,62.9243,4.36182,46.7404,9.5569,7.81778,,
0.46817,64.2021,4.43957,46.1127,9.79813,7.81341,,
0.504312,65.27,4.5251,45.2752,10.0418,7.81296,,
0.545876,66.1121,4.61919,44.2616,10.2879,7.81569,,
0.593674,66.7305,4.72268,43.1521,10.5364,7.82124,,
0.648642,67.1461,4.83652,42.0077,10.7874,7.82927,,
0.709106,67.3956,4.96175,40.8516,11.041,7.83915,,
0.775617,67.5192,5.0995,39.7062,11.2971,7.85033,,
0.84878,67.5729,5.25102,38.5723,11.5557,7.86215,,
0.929258,67.5927,5.4177,37.443,11.8169,7.8746,,
1.01778,67.5986,5.60104,36.3118,12.0808,7.8874,,
1.11516,67.5998,5.80272,35.1716,12.3472,7.90019,,
1.22228,67.6,6.00641,34.1027,12.6164,7.91269,,
1.34011,67.6,6.21214,33.0929,12.8882,7.92504,,
1.46972,67.6,6.41993,32.1302,13.1628,7.93692,,
1.61229,67.6,6.6298,31.2089,13.44,7.94762,,
1.76912,67.6,6.84176,30.3226,13.7201,7.95732,,
