時間 (sec),SN1 ,時間 (sec),SN2 ,時間 (sec),SN3 ,時間 (sec),SN4 
0.00258231,0.0270568,0.0954531,0.641811,0.165046,0.030706,0.259583,3.47621
0.00477685,0.0583847,0.0976727,1.4401,0.167273,0.139753,0.295308,45.3983
0.00717897,0.314155,0.100374,2.07415,0.169475,0.309654,0.330985,41.5183
0.0100067,1.38226,0.102832,2.52589,0.171666,0.469065,0.364579,38.8213
0.0122578,2.69421,0.105592,2.94726,0.173851,0.61384,0.409007,37.0851
0.0147193,4.09691,0.107638,3.23801,0.17821,0.898432,0.436336,37.0945
0.0168468,5.25402,0.109715,3.49831,0.18042,1.0392,0.467764,37.6793
0.0193602,6.69716,0.112145,3.79277,0.182631,1.18645,0.503907,38.8704
0.0214487,7.80139,0.114588,4.0593,0.184843,1.34934,0.54547,40.7567
0.0240924,8.8409,0.117254,4.33581,0.187059,1.50957,0.593268,43.4497
0.0262486,9.31422,0.12014,4.61439,0.189269,1.67206,0.648236,46.9698
0.0287771,9.69002,0.121589,4.74201,0.191487,1.83116,0.708701,50.8863
0.0310011,9.99157,0.124528,4.98961,0.193701,2.00341,0.775212,54.5428
0.0336368,10.4069,0.126245,5.14199,0.195919,2.17664,0.848374,56.7594
0.0359417,10.8538,0.129684,5.42011,0.198144,2.34998,0.928853,57.384
0.0382747,11.3581,0.131413,5.54885,0.200374,2.52717,1.01738,56.8599
0.0405774,11.8513,0.134925,5.81383,0.202606,2.70802,1.11476,55.6164
0.0429223,12.3216,0.136706,5.94525,0.204839,2.89515,1.22187,53.9476
0.0453154,12.7717,0.138783,6.10637,0.209294,3.26936,1.3397,52.3933
0.0477526,13.2005,0.140836,6.26421,0.21153,3.46461,1.46931,49.9808
0.0501566,13.5844,0.142891,6.41241,0.213766,3.65642,1.61189,47.0519
0.0528635,13.9766,0.147079,6.70372,0.216002,3.85426,1.76872,43.6823
0.0552498,14.2039,0.149189,6.85059,0.21824,4.05983,1.94123,39.9455
0.0572689,14.3247,0.151304,6.99754,0.220481,4.26137,2.13099,35.9517
0.0597877,14.3666,0.153422,7.14338,0.22272,4.49608,2.33973,31.7606
0.062812,14.3189,0.15587,7.31728,0.224823,4.72043,2.55056,27.7713
0.0643413,14.2733,0.15828,7.48448,0.226895,4.93699,2.7635,24.0514
0.0672671,14.1964,0.160557,7.73893,0.228972,5.14301,2.97856,20.6478
0.0703022,14.1639,0.162835,7.97598,0.23103,5.3048,3.19578,17.5096
0.0717091,14.1682,0.165046,8.27697,0.23549,5.72689,3.41517,14.7388
0.0741156,14.2099,0.167273,8.52304,0.237593,5.95615,3.63675,12.4246
0.0763956,14.3547,0.169475,8.74765,0.239659,6.14657,3.86055,10.403
0.0791006,14.6299,0.171666,8.98487,0.255306,7.71817,3.86055,10.403
0.0817997,14.8992,0.173851,9.22384,0.259583,9.12089,3.89399,10.1308
0.084484,15.1409,0.17821,9.69531,0.295308,45.1099,3.91395,9.97037
0.0858399,15.2478,0.18042,9.92838,0.330985,41.842,3.93691,9.78825
0.0885239,15.4329,0.182631,10.1633,0.364579,39.7405,3.96331,9.58146
0.0906115,15.56,0.184843,10.4081,0.409007,38.7674,3.99368,9.34805
0.093175,15.8677,0.187059,10.6477,0.436336,39.0107,4.0286,9.0817
0.0954531,16.7636,0.189269,10.8881,0.467764,39.759,4.06876,8.78529
0.0976727,17.6667,0.191487,11.1276,0.503907,41.1398,4.11494,8.46144
0.100374,18.7442,0.193701,11.3696,0.54547,43.2658,4.16804,8.10748
0.102832,19.6209,0.195919,11.6139,0.593268,46.1856,4.22646,7.73696
0.105592,20.4409,0.198144,11.8588,0.648236,49.9106,4.29072,7.34922
0.107638,20.9345,0.200374,12.1037,0.708701,53.906,4.36141,6.95057
0.109715,21.3414,0.202606,12.3514,0.775212,57.4814,4.43917,6.54898
0.112145,21.7117,0.204839,12.6019,0.848374,59.4454,4.5247,6.14363
0.114588,21.9927,0.209294,13.1034,0.928853,59.8625,4.61878,5.73825
0.117254,22.218,0.21153,13.3595,1.01738,59.4301,4.72227,5.33245
0.12014,22.402,0.213766,13.6136,1.11476,58.4506,4.83612,4.9262
0.121589,22.4788,0.216002,13.8695,1.22187,57.3648,4.96134,4.52008
0.124528,22.6116,0.21824,14.13,1.3397,56.0439,5.09909,4.11501
0.126245,22.6843,0.220481,14.3893,1.46931,54.0548,5.25061,3.7124
0.129684,22.8385,0.22272,14.684,1.61189,51.7956,5.41729,3.31417
0.131413,22.9233,0.224823,14.9685,1.76872,49.2273,5.60063,2.92267
0.134925,23.113,0.226895,15.2434,1.94123,46.3429,5.80231,2.54082
0.136706,23.2183,0.228972,15.504,2.13099,43.1045,6.00601,2.19868
0.138783,23.3503,0.23103,15.711,2.33973,39.475,6.21174,1.89252
0.140836,23.4907,0.23549,16.2128,2.55056,35.727,6.41953,1.6191
0.142891,23.6404,0.237593,16.493,2.7635,31.8597,6.62939,1.37559
0.147079,23.9617,0.239659,16.7303,2.97856,28.0757,6.84136,1.15949
0.149189,24.1274,0.255306,18.6046,3.19578,24.5491,7.05544,0.968553
0.151304,24.2938,0.259583,19.7997,3.41517,22.011,7.27167,0.800727
0.153422,24.4594,0.295308,43.9711,3.63675,19.4852,7.49006,0.654111
0.15587,24.6502,0.330985,43.0166,3.86055,17.1075,7.71063,0.526947
