sn1_holding+filling,sn1_max,sn2_holding+filling,sn2_max,sn3_holding+filling,sn3_max,sn4_holding+filling,sn4_max
253.857916,67.6,215.3025428,63.12719406,138.8822016,55.8323175,117.9277118,52.91555463
248.4865155,67.6,222.86703,63.84618979,144.3248033,57.82282408,122.4898174,54.63226944
253.0353715,67.6,225.674294,64.38536652,149.2706966,59.861782,127.4276668,57.38312973
291.1718914,78,252.7450372,73.94443936,178.0153947,67.53857667,157.490254,63.79480351
285.2136782,78,266.2067557,75.16515306,185.3741745,70.27058589,163.0705108,67.50876363
295.3787283,78,265.1938346,75.5471922,188.9572556,71.73983038,166.5786282,69.63757316
328.4823579,88.4,293.4281233,85.22607254,217.4564957,80.43548249,197.228831,77.54865371
321.8403751,88.4,306.7868051,86.80482654,226.7566807,82.60647764,204.056039,80.35729047
333.8576786,88.4,306.5128076,87.2422302,230.0698783,84.06880771,206.8512863,82.21480249
260.4340219,67.6,222.5492539,63.32514275,140.5082226,56.18257285,118.9683763,51.98516252
259.9144965,67.6,225.5272315,63.82913827,145.0783655,57.9865147,123.4272146,54.86603647
259.1726844,67.6,228.8031002,64.46475068,150.272768,60.04751973,128.344542,57.67070666
298.8554556,78,261.214162,74.31764719,180.4460947,68.4371957,159.6123779,64.76574635
298.3100859,78,265.1929745,75.19449185,185.0443705,70.35903041,163.4063356,67.56749941
297.1914992,78,269.6465217,76.3331267,191.9214894,72.78446673,168.6724661,70.73442883
337.2743912,88.4,301.9017002,85.62182134,221.4777578,80.89026847,200.5029292,77.88182853
336.8613619,88.4,307.2733576,87.07984528,227.1522065,83.54197759,204.6036877,81.48305097
334.2322791,88.4,302.2202301,87.81315498,227.7866073,84.86508739,205.0698468,83.199765
254.6351352,67.6,213.1008139,63.08999598,137.8093473,56.23672493,117.6228242,52.16737682
249.5520812,67.6,221.7701894,64.11477996,143.2512635,58.83297845,122.1543316,55.85017092
255.2915618,67.6,225.2629465,64.67769349,149.7419063,60.18715628,127.5553514,57.843836
292.2913252,78,250.9543729,74.348368,176.7212414,68.48330805,157.4253634,64.87260332
286.5396937,78,260.4221032,75.05905982,183.0721073,70.52580112,162.1750862,68.00475667
293.1248966,78,264.3746654,76.77259874,188.3522822,73.35903685,166.2891736,71.38174168
329.9135276,88.4,288.6725668,85.66863893,214.4822198,80.91986409,195.1149069,77.90454867
323.4894225,88.4,300.2263163,87.1729345,222.6995928,83.28900166,201.1211739,81.35760629
330.7849069,88.4,303.5179786,89.86559303,227.724552,86.59903968,204.7597543,84.82356664
249.7576941,67.6,218.5074842,63.27097651,137.3874154,55.29596983,115.5101957,52.93550061
254.5031599,67.6,225.4173435,63.48377853,143.0906381,57.26488684,120.8222826,53.90642074
256.0599277,67.6,220.2135193,64.38465792,145.5035321,59.5074238,124.0389614,56.75752257
286.3689184,78,256.8630641,73.85372459,176.7893114,67.33643712,155.316751,63.27090224
291.9855989,78,264.6524918,74.20693943,183.8738876,68.49405265,161.7601081,65.2948478
293.9171638,78,259.8070067,75.36260393,184.5635794,71.51499538,162.5419732,69.42705814
322.9764223,88.4,296.0965166,84.93233552,217.7583838,79.06533366,196.732326,75.89396502
329.4644927,88.4,306.7600773,86.13840023,225.0462756,81.85234919,202.3561096,79.63259898
334.2249692,88.4,307.1361804,87.94110284,228.3545696,84.39062369,204.9955454,82.7822384
255.959007,67.6,212.1196472,62.71092236,135.925864,54.7908564,114.8646667,53.88582576
247.9167025,67.6,225.3264643,63.83147808,143.2302942,58.09628416,121.4279018,54.84596774
259.5157897,67.6,227.5928305,64.3555164,147.9651985,59.38861181,126.200952,56.80303245
293.6941987,78,249.15856,74.14069661,174.1630606,67.27153746,154.7399408,63.55315093
284.4808007,78,264.6544375,74.62977181,183.3297725,69.49900126,161.6496977,66.64390306
297.9797629,78,267.3893797,75.6118472,188.0952162,71.35714506,166.0648235,69.19171167
331.4245138,88.4,286.7629109,84.96821324,213.0855389,79.33301895,193.6465886,76.33189015
321.0417675,88.4,304.784269,86.05880831,224.4326531,81.74734357,202.6011046,79.30543233
334.5820023,88.4,301.2113314,87.42612705,225.4422265,83.94434287,203.3172623,82.0109396
252.751345,67.6,210.1206259,62.55538028,134.7631195,55.06202081,114.0287819,54.61781552
245.6820808,67.6,213.1100145,63.82701134,139.9864327,57.45058188,119.8682642,54.01496638
245.8199937,67.6,224.1174019,64.2389155,146.6793984,59.41037499,125.1080304,56.82745733
290.0633824,78,246.9566908,73.86696124,172.9160866,67.45359418,153.3965157,63.80062917
281.9641823,78,249.9462609,74.55034145,176.792628,69.40708464,156.9203333,66.60246767
282.2372115,78,262.9611659,75.68351399,186.009323,71.59892374,164.3720548,69.48573839
332.8496368,88.4,294.8925062,84.92470428,216.6250357,79.45808973,196.6466433,76.49911437
326.5857595,88.4,288.1011966,86.11926247,216.5250328,81.97637245,196.4108136,79.61949683
318.8079537,88.4,312.6939183,87.55731248,231.5194511,84.2957327,207.7116501,82.40049641
258.4227952,67.6,220.2190097,63.0250294,141.7625176,56.09098028,119.9884693,52.08556214
253.3457556,67.6,223.4000546,64.60584096,146.8571507,59.16299747,125.7023684,56.19736973
252.9292405,67.6,230.458001,64.98693862,152.7072505,60.82652408,130.112549,58.57720637
296.5145826,78,259.0113059,74.36005427,181.9233989,68.70831661,161.0593773,65.45280736
290.7800312,78,262.5152633,75.33328952,186.1025139,70.87555244,164.5216357,68.45957903
290.4115466,78,271.013961,76.12941575,193.8296588,72.53710652,170.7919768,70.71144676
334.6050011,88.4,299.2188224,85.85523244,221.8672448,81.40991147,200.8959758,78.75226651
