time (sec),SN1 ,SN2 ,SN3 ,SN4 
0,0,0,0,0
0.001,0,0,0,0
0.002,0,0,0,0
0.003,0,0,0,0
0.004,0,0,0,0
0.005,0.129662548689111,0,0,0
0.006,0.292416996600516,0,0,0
0.007,0.455171444511922,0,0,0
0.008,0.617925892423327,0,0,0
0.009,0.857175785747474,0,0,0
0.01,1.42362143326171,0,0,0
0.011,1.99006708077595,0,0,0
0.012,2.55651272829019,0,0,0
0.013,3.17044133199704,0,0,0
0.014,3.89844858615506,0,0,0
0.015,4.62645584031307,0,0,0
0.016,5.35446309447109,0,0,0
0.017,6.08302269065311,0,0,0
0.018,6.81638209620649,0,0,0
0.019,7.54974150175987,0,0,0
0.02,8.28310090731326,0,0,0
0.021,9.01646031286664,0,0,0
0.022,9.61012332281963,0,0,0
0.023,10.1587724340448,0,0,0
0.024,10.7074215452701,0,0,0
0.025,11.2560706564953,0,0,0
0.026,11.6634572346821,0,0,0
0.027,12.0001277549133,0,0,0
0.028,12.3367982751445,0,0,0
0.029,12.6734687953757,0,0,0
0.03,12.9650415194708,0,0,0
0.031,13.1696153902112,0,0,0
0.032,13.3741892609516,0,0,0
0.033,13.578763131692,0,0,0
0.034,13.7833370024324,0,0,0
0.035,13.9649473442828,0,0,0
0.036,14.1451567281372,0,0,0
0.037,14.3253661119915,0,0,0
0.038,14.5055754958459,0,0,0
0.039,14.6944470449008,0,0,0
0.04,14.8857917484627,0,0,0
0.041,15.0771364520246,0,0,0
0.042,15.2684811555865,0,0,0
0.043,15.4665875009359,0,0,0
0.044,15.6723678189033,0,0,0
0.045,15.8781481368707,0,0,0
0.046,16.0839284548381,0,0,0
0.047,16.2901833344286,0,0,0
0.048,16.496991509496,0,0,0
0.049,16.7037996845633,0,0,0
0.05,16.9106078596307,0,0,0
0.051,17.117416034698,0,0,0
0.052,17.2696032247014,0,0,0
0.053,17.4154912736657,0,0,0
0.054,17.56137932263,0,0,0
0.055,17.7072673715943,0,0,0
0.056,17.8129008071749,0,0,0
0.057,17.8810622421525,0,0,0
0.058,17.94922367713,0,0,0
0.059,18.0173851121076,0,0,0
0.06,18.0567914592963,0,0,0
0.061,18.0782270447632,0,0,0
0.062,18.0996626302302,0,0,0
0.063,18.1210982156971,0,0,0
0.064,18.1341664275194,0,0,0
0.065,18.1365895757115,0,0,0
0.066,18.1390127239036,0,0,0
0.067,18.1414358720958,0,0,0
0.068,18.1463628053619,0,0,0
0.069,18.1596389447721,0,0,0
0.07,18.1729150841823,0,0,0
0.071,18.1861912235925,0,0,0
0.072,18.1994673630027,0,0,0
0.073,18.2221766587179,0,0,0
0.074,18.2520546219666,0,0,0
0.075,18.2819325852153,0,0,0
0.076,18.3118086161822,0,0,0
0.077,18.3411643411024,0,0,0
0.078,18.3705200660227,0,0,0
0.079,18.3998757909429,0,0,0
0.08,18.4292315158632,0,0,0
0.081,18.4657263282351,0,0,0
0.082,18.509648646609,0,0,0
0.083,18.5535709649829,0,0,0
0.084,18.5974932833568,0,0,0
0.085,18.7764497554265,0,0,0
0.086,19.0826252369306,0,0,0
0.087,19.3888007184347,0,0,0
0.088,19.6949761999389,0,0,0
0.089,20.001151681443,0,0,0
0.09,20.336653868472,0,0,0
0.091,20.6741780464217,0,0,0
0.092,21.0117022243714,0,0,0
0.093,21.3492264023211,0,0,0
0.094,21.6717956418365,0,0,0
0.095,21.9705664162248,0,0,0
0.096,22.2693371906132,0,0,0
0.097,22.5681079650015,0,0,0
0.098,22.8578941176471,0,0,0
0.099,23.1067503267974,0,0,0
0.1,23.3556065359477,0,0,0
0.101,23.604462745098,0,0,0
0.102,23.8282275475378,0,0,0
0.103,24.0276912237933,0,0,0
0.104,24.2271549000488,0,0,0
0.105,24.4266185763042,0,0,0
0.106,24.6056032990124,0,0,0
0.107,24.7546262029838,0,0,0
0.108,24.9036491069552,0,0,0
0.109,25.0526720109267,0,0,0
0.11,25.2016949148981,0,0,0
0.111,25.3209753766852,0,0,0
0.112,25.4240285091197,0,0,0
0.113,25.5270816415543,0,0,0
0.114,25.6301347739889,0,0,0
0.115,25.7331879064235,0,0,0
0.116,25.8162857831325,0,0,0
0.117,25.88624562249,0,0,0
0.118,25.9562054618474,0,0,0
0.119,26.0261653012048,0,0,0
0.12,26.0761911301095,0,0,0
0.121,26.1231855196367,0,0,0
0.122,26.1701799091638,0,0,0
0.123,26.2147742647059,0,0,0
0.124,26.2425683823529,0,0,0
0.125,26.2703625,0,0,0
0.126,26.2981566176471,0,0,0
0.127,26.3253331503089,0,0,0
0.128,26.3394031571723,0,0,0
0.129,26.3534731640357,0,0,0
0.13,26.3675431708991,0,0,0
0.131,26.3816131777625,0,0,0
0.132,26.3894999538106,0,0,0
0.133,26.3943960277136,0,0,0
0.134,26.3992921016166,0,0,0
0.135,26.4041881755196,0,0,0
0.136,26.4081365013055,0.000833162610966084,0,0
0.137,26.4102774934726,0.00325514694516974,0,0
0.138,26.4124184856397,0.0056771312793734,0,0
0.139,26.4145594778068,0.00809911561357706,0,0
0.14,26.4213225162257,0.0435033650524222,0,0
0.141,26.4324558162756,0.110093180329507,0,0
0.142,26.4435891163255,0.176682995606591,0,0
0.143,26.4547224163754,0.243272810883675,0,0
0.144,26.4723654200906,0.308770969813853,0,0
0.145,26.4963130974342,0.37321185527419,0,0
0.146,26.5202607747778,0.437652740734529,0,0
0.147,26.5442084521214,0.502093626194867,0,0
0.148,26.568156129465,0.566534511655206,0,0
0.149,26.5921038068087,0.630975397115545,0,0
0.15,26.6257969343805,0.695033225741069,0,0
0.151,26.667626171776,0.758771254623764,0,0
0.152,26.7094554091715,0.82250928350646,0,0
0.153,26.751284646567,0.886247312389155,0,0
0.154,26.8016199093884,0.950510463126101,0,0
0.155,26.8576732695696,1.01512662219985,0,0
0.156,26.9137266297508,1.0797427812736,0,0
0.157,26.969779989932,1.14435894034735,0,0
0.158,27.0341497999,1.21341084792396,0,0
0.159,27.1035094797399,1.2851242046023,0,0
0.16,27.1728691595798,1.35683756128064,0,0
0.161,27.2422288394197,1.42855091795898,0,0
0.162,27.3193868292683,1.50060014634146,0,0
0.163,27.4011840051348,1.57284918356868,0,0
0.164,27.4829811810013,1.64509822079589,0,0
0.165,27.5647783568678,1.71734725802311,0,0
0.166,27.6540492675405,1.78956036237471,0,0
0.167,27.746056463634,1.86176031097404,0,0
0.168,27.8380636597276,1.93396025957338,0,0
0.169,27.9300708558211,2.00616020817271,0,0
0.17,28.027959431061,2.07846486160943,0,0
0.171,28.1269599436187,2.15078931060994,0,0
0.172,28.2259604561763,2.22311375961046,0,0
0.173,28.324960968734,2.29543820861097,0,0
0.174,28.4284123884695,2.3705505130405,0,0
0.175,28.5321529512697,2.44584392415923,0,0
0.176,28.63589351407,2.52113733527797,0,0
0.177,28.7396340768703,2.59643074639671,0,0
0.178,28.8433746396706,2.67172415751544,0,0
0.179,28.9473435197114,2.74715274413811,0,0
0.18,29.053140994589,2.82366395258954,0,0
0.181,29.1589384694666,2.90017516104097,0,0
0.182,29.2647359443442,2.9766863694924,0,0
0.183,29.3704314028314,3.05352105534106,0,0
0.184,29.4757853281853,3.13143868725869,0,0
0.185,29.5811392535393,3.20935631917632,0,0
0.186,29.6864931788932,3.28727395109395,0,0
0.187,29.7914315352697,3.36572658454357,0,0
0.188,29.8955809128631,3.44519494553942,0,0
0.189,29.9997302904564,3.52466330653527,0,0
0.19,30.1038796680498,3.60413166753112,0,0
0.191,30.2070415064935,3.68309792207792,0,0
0.192,30.3091713766234,3.76153948051948,0,0
0.193,30.4113012467532,3.83998103896104,0,0
0.194,30.5134311168831,3.9184225974026,0,0
0.195,30.6133592105263,3.99899002105263,0,0
0.196,30.7120434210526,4.08075844210526,0,0
0.197,30.8107276315789,4.1625268631579,0,0
0.198,30.9094118421053,4.24429528421053,0,0
0.199,31.0080960526316,4.32606370526316,0,0
0.2,31.1067802631579,4.40783212631579,0,0
0.201,31.2025494406548,4.48998453478854,0,0
0.202,31.2981292496589,4.57216188813097,0,0
0.203,31.393709058663,4.6543392414734,0,0
0.204,31.4885478569401,4.73460871984105,0,0
0.205,31.5814232472325,4.80982302583026,0,0
0.206,31.6742986375248,4.88503733181947,0,0
0.207,31.7671740278172,4.96025163780869,0,0
0.208,31.8784166191156,5.35722259629103,0,0
0.209,31.9957490014265,5.86087452211127,0,0
0.21,32.1130813837375,6.36452644793152,0,0
0.211,32.2304137660485,6.86817837375178,0,0
0.212,32.4232255802824,7.31477269921033,0,0
0.213,32.679052333094,7.71373178033022,0,0
0.214,32.9348790859057,8.11269086145011,0,0
0.215,33.1907058387174,8.51164994256999,0,0
0.216,33.494585190409,8.90948521861777,0,0
0.217,33.8817031969911,9.30537379407617,0,0
0.218,34.2688212035731,9.70126236953456,0,0
0.219,34.6559392101551,10.0971509449929,0,0
0.22,35.0532480865225,10.4949242928453,0,0
0.221,35.5313560019016,10.9076411932493,0,0
0.222,36.0094639172807,11.3203580936534,0,0
0.223,36.4875718326599,11.7330749940575,0,0
0.224,36.965679748039,12.1457918944616,0,0
0.225,37.4919615832363,12.5709998835856,0,0
0.226,38.0233003492433,12.9975190919674,0,0
0.227,38.5546391152503,13.4240383003492,0,0
0.228,39.0859778812573,13.8505575087311,0,0
0.229,39.6282533774209,14.2828133207369,0,0
0.23,40.1775212092584,14.7187367973547,0,0
0.231,40.7267890410959,15.1546602739726,0,0
0.232,41.2760568729334,15.5905837505905,0,0
0.233,41.8224585434834,16.0306790007071,0,0
0.234,42.3641036059392,16.4776976196088,0,0
0.235,42.905748668395,16.9247162385105,0,0
0.236,43.4473937308508,17.3717348574122,0,0
0.237,43.9863915794482,17.8210292102759,0,0
0.238,44.5081327783064,18.2851586108468,0,0
0.239,45.0298739771646,18.7492880114177,0,0
0.24,45.5516151760228,19.2134174119886,0,0
0.241,46.0733563748811,19.6775468125595,0,0
0.242,46.5777232995658,20.1404930053063,0.380231230101298,0
0.243,47.0807623733719,20.6033487698987,0.789522112879882,0
0.244,47.583801447178,21.0662045344911,1.19881299565847,0
0.245,48.0868405209841,21.5290602990835,1.60810387843705,0
0.246,48.57238718802,21.9880198241027,1.99552831946756,0
0.247,49.0530860232945,22.4458995483718,2.37689271214642,0
0.248,49.533784858569,22.9037792726408,2.75825710482529,0
0.249,50.0144836938436,23.3616589969099,3.13962149750416,0
0.25,50.4863509990485,23.8299206470029,3.52461453853473,0
0.251,50.9517173168411,24.3058245480495,3.9122786679353,0
0.252,51.4170836346337,24.7817284490961,4.29994279733587,0
0.253,51.8824499524263,25.2576323501427,4.68760692673644,0
0.254,52.3467477654973,25.7329899567516,5.07714105718404,0
0.255,52.8092417587698,26.2074253243633,5.46983207111965,0
0.256,53.2717357520423,26.681860691975,5.86252308505526,0
0.257,53.7342297453147,27.1562960595867,6.25521409899086,0
0.258,54.1975391745112,27.6315431571325,6.64908112961622,0
0.259,54.6639161959932,28.1098439053826,7.04737222302679,0
0.26,55.1302932174753,28.5881446536326,7.44566331643736,0
0.261,55.5966702389573,29.0664454018827,7.84395440984793,0
0.262,56.0636828136158,29.5454647702928,8.24322584860747,0
0.263,56.5395457034039,30.0344911925732,8.65614896215187,0
0.264,57.0154085931921,30.5235176148536,9.06907207569627,0
0.265,57.4912714829803,31.012544037134,9.48199518924067,0
0.266,57.9671343727684,31.5015704594144,9.89491830278507,0
0.267,58.4550970820378,31.9891636689787,10.3085494738101,0
0.268,58.9449320497489,32.4765351112174,10.7222902056924,0
0.269,59.4347670174599,32.9639065534561,11.1360309375747,0
0.27,59.924601985171,33.4512779956948,11.5497716694571,0
0.271,60.4231401471985,33.9484384140551,11.9726724121557,0
0.272,60.9256805080722,34.4501003323837,12.3997854226021,0
0.273,61.4282208689459,34.9517622507122,12.8268984330484,0
0.274,61.9307612298196,35.4534241690408,13.2540114434948,0
0.275,62.438932862363,35.9376038489647,13.6288353227771,0
0.276,62.9533786601705,36.4023054323995,13.9454004872107,0
0.277,63.4678244579781,36.8670070158344,14.2619656516443,0
0.278,63.9822702557856,37.3317085992692,14.578530816078,0
0.279,64.48329357919,37.7100206124465,14.8135763582483,0
0.28,64.9612652617715,37.9399679288772,14.9086208100099,0
0.281,65.439236944353,38.1699152453079,15.0036652617715,0
0.282,65.9172086269345,38.3998625617386,15.0987097135331,0
0.283,66.395180309516,38.6298098781693,15.1937541652947,0
0.284,66.8731519920975,38.8597571945999,15.2887986170563,0
0.285,67.3308207239819,39.0761773755656,15.383530678733,0
0.286,67.7397347511312,39.2601140271493,15.4775125791855,0
0.287,68.1389806603774,39.4452726415094,15.5738693396226,0
0.288,68.4327980458221,39.6437564690027,15.6961233827493,0
0.289,68.7266154312668,39.842240296496,15.818377425876,0
0.29,69.0204328167116,40.0407241239892,15.9406314690027,0
0.291,69.3142502021563,40.2392079514825,16.0628855121294,0
0.292,69.6080675876011,40.4376917789757,16.1851395552561,0
0.293,69.8848478359909,40.6321858769932,16.3037403948367,0
0.294,70.0635494305239,40.8037120728929,16.4013106302202,0
0.295,70.2422510250569,40.9752382687927,16.4988808656036,0
0.296,70.3842946884917,41.128269450476,16.5947981793887,0
0.297,70.491677350927,41.263813128445,16.689152613997,0
0.298,70.5990600133623,41.3993568064139,16.7835070486053,0
0.299,70.7064426757976,41.5349004843828,16.8778614832136,0
0.3,70.8138253382328,41.6704441623518,16.9722159178219,0
0.301,70.9212080006681,41.8059878403207,17.0665703524303,0
0.302,71.012354885938,41.9374059925094,17.160849608444,0
0.303,71.0889296220633,42.0651213483146,17.2550613891726,0
0.304,71.1655043581886,42.1928367041198,17.3492731699013,0
0.305,71.2304830271216,42.3125622047244,17.4356884514436,0
0.306,71.2874034120735,42.4267354330709,17.5166858267717,0
0.307,71.3443237970254,42.5409086614173,17.5976832020997,0
0.308,71.4012441819772,42.6550818897638,17.6786805774278,0
0.309,71.4581645669291,42.7692551181102,17.7596779527559,0
0.31,71.515084951881,42.8834283464567,17.840675328084,0
0.311,71.5613431924883,42.9886917840376,17.9211345070423,0
0.312,71.6060782696177,43.0926823943662,18.0015168008048,0
0.313,71.6508133467472,43.1966730046948,18.0818990945674,0
0.314,71.6924271004098,43.292784443306,18.1548521174863,0
0.315,71.7336668545082,43.3879517930328,18.2269149590164,0
0.316,71.7749066086066,43.4831191427596,18.2989778005464,0
0.317,71.8161463627049,43.5782864924863,18.3710406420765,0
0.318,71.8573861168033,43.6734538422131,18.4431034836066,0
0.319,71.8988234109066,43.768501840917,18.515004793331,0
0.32,71.945402084057,43.860443487322,18.5827019103856,0
0.321,71.9919807572074,43.952385133727,18.6503990274401,0
0.322,72.0396684996606,44.0452084860828,18.7191025118805,0
0.323,72.093266598778,44.1427305498982,18.7931690427699,0
0.324,72.1468646978955,44.2402526137135,18.8672355736592,0
0.325,72.2032138121547,44.3373117403315,18.9404641574586,0
0.326,72.2697883977901,44.4326501381216,19.0105781077348,0
0.327,72.3363629834254,44.5279885359116,19.080692058011,0
0.328,72.4029375690608,44.6233269337017,19.1508060082873,0
0.329,72.4695121546961,44.7186653314917,19.2209199585635,0
0.33,72.5360867403315,44.8140037292818,19.2910339088398,0
0.331,72.6083267705383,44.9107794617564,19.3618019830028,0
0.332,72.688390509915,45.0095400849858,19.4334733711048,0
0.333,72.7684542492918,45.1083007082153,19.5051447592068,0
0.334,72.8561815653414,45.2072049563202,19.575954947406,0
0.335,72.9491036548404,45.3062065608843,19.646181369228,0
0.336,73.0420257443395,45.4052081654484,19.7164077910501,0
0.337,73.1349478338385,45.5042097700125,19.7866342128722,0
0.338,73.2278699233375,45.6032113745766,19.8568606346942,0
0.339,73.3207920128365,45.7022129791407,19.9270870565163,0
0.34,73.4237325830654,45.7984269024652,19.9942231511254,0
0.341,73.5268051089675,45.8946041086102,20.0613185423366,0
0.342,73.6308361998216,45.9903730062444,20.1281164317574,0
0.343,73.7390074754683,46.0843783586084,20.1936293666369,0
0.344,73.8471787511151,46.1783837109724,20.2591423015165,0
0.345,73.9553500267618,46.2723890633363,20.3246552363961,0
0.346,74.0635213024086,46.3663944157003,20.3901681712757,0
0.347,74.1716925780553,46.4603997680642,20.4556811061552,0
0.348,74.2806086614173,46.5532468503937,20.5204964566929,0
0.349,74.390057480315,46.6452654617037,20.5848128489621,0
0.35,74.4995062992126,46.7372840730136,20.6491292412312,0
0.351,74.6070013622513,46.8270721813945,20.7119576985123,0
0.352,74.7139739379817,46.9162637927944,20.7743882416204,0
0.353,74.8209465137121,47.0054554041943,20.8368187847284,0
0.354,74.9279190894426,47.0946470155942,20.8992493278365,0
0.355,75.034891665173,47.1838386269941,20.9616798709446,0
0.356,75.1408455231931,47.2722568500539,21.0237011866235,0
0.357,75.2429670622078,47.3577656598346,21.0841830276879,0
0.358,75.3450886012226,47.4432744696152,21.1446648687522,0
0.359,75.4428734342013,47.5242372624912,21.2017821252639,0
0.36,75.5348861013371,47.5991492962702,21.254421111893,0
0.361,75.6268987684729,47.6740613300493,21.3070600985222,0
0.362,75.7189114356087,47.7489733638283,21.3596990851513,0
0.363,75.8109241027446,47.8238853976073,21.4123380717804,0
0.364,75.9029367698804,47.8987974313863,21.4649770584096,0
0.365,75.9887076514346,47.9728711300035,21.519146723344,0
0.366,76.0723420828905,48.0466578816861,21.5738403117251,0
0.367,76.1559765143464,48.1204446333688,21.6285339001063,0
0.368,76.2333607744711,48.1934078164217,21.6828670132664,0.0293577163858008
0.369,76.3102162782359,48.2663013266404,21.737169630692,0.061199057368232
0.37,76.3870717820007,48.3391948368591,21.7914722481176,0.0930403983506632
0.371,76.4639272857655,48.4120883470778,21.8457748655432,0.124881739333094
0.372,76.5407827895303,48.4849818572965,21.9000774829688,0.156723080315525
0.373,76.6147966942149,48.5540234279554,21.9506688825009,0.18625413905857
0.374,76.6833917355372,48.6157194394538,21.9941830758175,0.211379543298599
0.375,76.7519867768595,48.6774154509522,22.037697269134,0.236504947538627
0.376,76.8173698687664,48.7383072440945,22.0831174278215,0.263362267716535
0.377,76.8802395100612,48.7985697112861,22.130029063867,0.291574866141732
0.378,76.9431091513561,48.8588321784777,22.1769406999125,0.319787464566929
0.379,77.0059787926509,48.9190946456693,22.223852335958,0.348000062992126
0.38,77.0688484339458,48.9793571128609,22.2707639720035,0.376212661417323
0.381,77.1317180752406,49.0396195800525,22.317675608049,0.40442525984252
0.382,77.1911271813286,49.0999941472172,22.3648761579892,0.431904834470378
0.383,77.2499063554758,49.1603891202873,22.4121292998205,0.459250974506284
0.384,77.3084057719298,49.2203747368421,22.458974245614,0.486316268421053
0.385,77.362598754386,49.2740589473684,22.4995356491228,0.509058373684211
0.386,77.4167917368421,49.3277431578947,22.5400970526316,0.531800478947369
0.387,77.4709847192982,49.3814273684211,22.5806584561404,0.554542584210527
0.388,77.5251777017544,49.4351115789474,22.6212198596491,0.577284689473684
0.389,77.5793706842105,49.4887957894737,22.6617812631579,0.600026794736842
0.39,77.6320182106376,49.5403679816837,22.700809933075,0.623217532229658
0.391,77.6819301514618,49.5882017259598,22.737125537161,0.647202386051427
0.392,77.731842092286,49.636035470236,22.7734411412469,0.671187239873195
0.393,77.7810331489803,49.6857939163498,22.8128582440373,0.697511858624266
0.394,77.8295640857242,49.7373148288973,22.8551154165226,0.725979020739717
0.395,77.878095022468,49.7888357414449,22.897372589008,0.754446182855168
0.396,77.9266259592119,49.8403566539924,22.9396297614933,0.782913344970619
0.397,77.9751568959558,49.8918775665399,22.9818869339786,0.81138050708607
0.398,78.0236878326996,49.9433984790875,23.0241441064639,0.839847669201521
0.399,78.0729434876211,49.9967181198421,23.0668315392896,0.86601097416577
0.4,78.1224590958019,50.0506829565841,23.1096733046286,0.891347895586653
0.401,78.1719747039828,50.1046477933262,23.1525150699677,0.916684817007536
0.402,78.2218752494311,50.1533632942412,23.1898493786102,0.941606983721338
0.403,78.2717964817084,50.2017966917556,23.2268877122353,0.966506861193769
0.404,78.3217177139856,50.2502300892701,23.2639260458603,0.9914067386662
0.405,78.3716389462629,50.2986634867845,23.3009643794854,1.01630661613863
0.406,78.4215601785402,50.347096884299,23.3380027131104,1.04120649361106
0.407,78.4716679715303,50.395589252669,23.375706405694,1.06688419217082
0.408,78.5223797153025,50.4442725266904,23.4155640569395,1.09507992170819
0.409,78.5730914590747,50.4929558007117,23.4554217081851,1.12327565124555
0.41,78.6242063093744,50.5424863416383,23.4955492202904,1.15141991754795
0.411,78.6758643126008,50.5931585051084,23.5360403477326,1.17949484136942
0.412,78.7275223158272,50.6438306685786,23.5765314751748,1.2075697651909
0.413,78.7791803190536,50.6945028320488,23.617022602617,1.23564468901237
0.414,78.83083832228,50.7451749955189,23.6575137300592,1.26371961283384
0.415,78.8824963255064,50.7958471589891,23.6980048575013,1.29179453665532
0.416,78.934961289161,50.845751746489,23.7374455887649,1.31919110911055
