time(s),probe,pressure
0.00258231,SN1,0.0290167
0.00477685,SN1,0.061051
0.00718367,SN1,0.336475
0.00999233,SN1,1.45787
0.012212,SN1,2.84953
0.0143328,SN1,4.22511
0.0169379,SN1,5.79165
0.0194332,SN1,7.28959
0.0214641,SN1,8.39068
0.0239625,SN1,9.3791
0.0264821,SN1,10.0054
0.0286626,SN1,10.4306
0.0312597,SN1,10.8954
0.0335141,SN1,11.3222
0.035823,SN1,11.8074
0.0381258,SN1,12.3217
0.040511,SN1,12.8721
0.0428919,SN1,13.387
0.0452902,SN1,13.8673
0.0477364,SN1,14.3242
0.0501413,SN1,14.7322
0.0527615,SN1,15.1386
0.0550433,SN1,15.3846
0.0581388,SN1,15.5944
0.0608645,SN1,15.6388
0.0624922,SN1,15.6205
0.0654636,SN1,15.5438
0.0670246,SN1,15.5042
0.0700424,SN1,15.4542
0.0714807,SN1,15.4459
0.0739511,SN1,15.462
0.0775253,SN1,15.6932
0.0788531,SN1,15.8231
0.08153,SN1,16.0821
0.0842038,SN1,16.3214
0.0869141,SN1,16.5345
0.0882618,SN1,16.6261
0.0914123,SN1,16.8085
0.0933425,SN1,17.094
0.0952722,SN1,17.9091
0.0978259,SN1,19.0324
0.100532,SN1,20.2154
0.102989,SN1,21.1888
0.105747,SN1,22.1119
0.107791,SN1,22.6753
0.10987,SN1,23.1472
0.112295,SN1,23.582
0.114742,SN1,23.9162
0.117408,SN1,24.1829
0.120297,SN1,24.3963
0.121747,SN1,24.4818
0.12467,SN1,24.6225
0.127893,SN1,24.7492
0.129615,SN1,24.8157
0.131363,SN1,24.8863
0.134847,SN1,25.0465
0.136619,SN1,25.1384
0.138687,SN1,25.2562
0.140768,SN1,25.3863
0.144941,SN1,25.6801
0.147033,SN1,25.8414
0.14914,SN1,26.0107
0.151251,SN1,26.1849
0.153366,SN1,26.3621
0.155815,SN1,26.5712
0.1582,SN1,26.7771
0.160471,SN1,26.983
0.162758,SN1,27.2054
0.164974,SN1,27.4486
0.167201,SN1,27.7208
0.169398,SN1,28.0076
0.171595,SN1,28.3031
0.175974,SN1,28.8906
0.178177,SN1,29.1788
0.180382,SN1,29.4609
0.182595,SN1,29.7372
0.184806,SN1,30.0074
0.18702,SN1,30.2733
0.189237,SN1,30.5361
0.191455,SN1,30.7968
0.193674,SN1,31.0561
0.195894,SN1,31.316
0.198117,SN1,31.5772
0.200346,SN1,31.8405
0.202571,SN1,32.1053
0.207031,SN1,32.6449
0.20926,SN1,32.9188
0.211497,SN1,33.1965
0.213724,SN1,33.4753
0.215959,SN1,33.7572
0.218194,SN1,34.041
0.220426,SN1,34.3258
0.222661,SN1,34.6124
0.2249,SN1,34.9007
0.22714,SN1,35.1954
0.22925,SN1,35.4848
0.23132,SN1,35.7813
0.233391,SN1,36.0874
0.237564,SN1,36.7077
0.239626,SN1,37.0103
0.255444,SN1,39.1116
0.259436,SN1,40.2077
0.291023,SN1,46.4357
0.33935,SN1,54.0328
0.375744,SN1,57.9884
0.398131,SN1,59.8594
0.453481,SN1,63.1389
0.487528,SN1,64.4597
0.526683,SN1,65.5289
0.57171,SN1,66.3398
0.623491,SN1,66.9072
0.680451,SN1,67.266
0.743106,SN1,67.4562
0.812027,SN1,67.5463
0.88784,SN1,67.5833
0.971234,SN1,67.596
1.06297,SN1,67.5993
1.16388,SN1,67.5999
1.27487,SN1,67.6
1.39697,SN1,67.6
1.53128,SN1,67.6
1.67902,SN1,67.6
1.84153,SN1,67.6
2.02029,SN1,67.6
2.21693,SN1,67.6
2.43323,SN1,67.6
2.6517,SN1,67.6
2.87235,SN1,67.6
3.09521,SN1,67.6
3.3203,SN1,67.6
3.54763,SN1,67.6
3.77724,SN1,67.6
3.77724,SN1,67.6
3.81155,SN1,57.6
3.83151,SN1,47.6
3.85447,SN1,38.0965
3.88088,SN1,29.3495
3.91124,SN1,21.6001
3.94616,SN1,15.0413
3.98632,SN1,9.78895
4.0325,SN1,5.85797
4.08561,SN1,3.15271
4.14403,SN1,1.47837
4.20829,SN1,0.614722
4.27898,SN1,0.219697
4.35673,SN1,0.0644003
4.44226,SN1,0.0143255
4.53635,SN1,0.00207276
4.63984,SN1,0.000122622
4.75368,SN1,0
4.87891,SN1,0
5.01665,SN1,0
5.16818,SN1,0
5.33485,SN1,0
5.5182,SN1,0
5.71988,SN1,0
5.92357,SN1,0
6.1293,SN1,0
6.33709,SN1,0
6.54696,SN1,0
6.75892,SN1,0
6.97301,SN1,0
7.18923,SN1,0
7.40762,SN1,0
7.62819,SN1,0
7.85097,SN1,0
8.07598,SN1,0
8.30323,SN1,0
8.53276,SN1,0
8.76458,SN1,0
8.99872,SN1,0
9.23521,SN1,0
9.47405,SN1,0
9.71529,SN1,0
9.95894,SN1,0
10.205,SN1,0
10.4536,SN1,0
10.7046,SN1,0
10.9581,SN1,0
11.2142,SN1,0
11.4729,SN1,0
11.7341,SN1,0
11.9979,SN1,0
12.2644,SN1,0
12.5335,SN1,0
12.8054,SN1,0
13.0799,SN1,0
13.3572,SN1,0
13.6373,SN1,0
13.9201,SN1,0
14.2058,SN1,0
14.4944,SN1,0
14.7858,SN1,0
15.0802,SN1,0
15.3775,SN1,0
15.6778,SN1,0
15.981,SN1,0
16.2873,SN1,0
16.5967,SN1,0
16.9092,SN1,0
17.2248,SN1,0
17.5435,SN1,0
17.8654,SN1,0
23.7554,SN1,0
0.0952722,SN2,0.458803
0.0978259,SN2,1.56404
0.100532,SN2,2.25165
0.102989,SN2,2.73693
0.105747,SN2,3.19513
0.107791,SN2,3.51185
0.10987,SN2,3.79672
0.112295,SN2,4.11722
0.114742,SN2,4.4074
0.117408,SN2,4.7137
0.120297,SN2,5.01453
0.121747,SN2,5.15484
0.12467,SN2,5.42329
0.127893,SN2,5.71419
0.129615,SN2,5.86212
0.131363,SN2,6.00964
0.134847,SN2,6.29394
0.136619,SN2,6.43271
0.138687,SN2,6.60336
0.140768,SN2,6.76818
0.144941,SN2,7.09157
0.147033,SN2,7.25209
0.14914,SN2,7.41079
0.151251,SN2,7.56847
0.153366,SN2,7.72582
0.155815,SN2,7.92135
0.1582,SN2,8.09756
0.160471,SN2,8.36989
0.162758,SN2,8.61949
0.164974,SN2,8.94606
0.167201,SN2,9.21748
0.169398,SN2,9.47021
0.171595,SN2,9.71974
0.175974,SN2,10.2255
0.178177,SN2,10.4841
0.180382,SN2,10.7405
0.182595,SN2,11.0011
0.184806,SN2,11.2626
0.18702,SN2,11.5231
0.189237,SN2,11.7837
0.191455,SN2,12.0429
0.193674,SN2,12.3048
0.195894,SN2,12.5682
0.198117,SN2,12.8316
0.200346,SN2,13.0939
0.202571,SN2,13.3617
0.207031,SN2,13.9005
0.20926,SN2,14.173
0.211497,SN2,14.4459
0.213724,SN2,14.72
0.215959,SN2,14.9973
0.218194,SN2,15.2741
0.220426,SN2,15.5525
0.222661,SN2,15.8335
0.2249,SN2,16.1166
0.22714,SN2,16.435
0.22925,SN2,16.7436
0.23132,SN2,17.0408
0.233391,SN2,17.314
0.237564,SN2,17.8663
0.239626,SN2,18.1426
0.255444,SN2,20.1956
0.259436,SN2,20.777
0.291023,SN2,46.9374
0.33935,SN2,44.4958
0.375744,SN2,43.8387
0.398131,SN2,43.7515
0.453481,SN2,44.0968
0.487528,SN2,44.8653
0.526683,SN2,46.4076
0.57171,SN2,48.4851
0.623491,SN2,51.2641
0.680451,SN2,54.6621
0.743106,SN2,58.1507
0.812027,SN2,61.3733
0.88784,SN2,63.0152
0.971234,SN2,63.5276
1.06297,SN2,63.8463
1.16388,SN2,63.4756
1.27487,SN2,63.094
1.39697,SN2,62.6357
1.53128,SN2,62.1112
1.67902,SN2,61.5874
1.84153,SN2,61.1106
2.02029,SN2,60.6399
2.21693,SN2,60.1696
2.43323,SN2,59.6712
2.6517,SN2,58.9623
2.87235,SN2,58.1187
3.09521,SN2,57.0228
3.3203,SN2,55.7016
3.54763,SN2,54.2103
3.77724,SN2,52.8449
3.77724,SN2,52.8449
3.81155,SN2,52.6917
3.83151,SN2,52.5778
3.85447,SN2,52.4148
3.88088,SN2,52.1902
3.91124,SN2,51.9232
3.94616,SN2,51.6293
3.98632,SN2,51.2915
4.0325,SN2,50.9114
4.08561,SN2,50.489
4.14403,SN2,50.0214
4.20829,SN2,49.4299
4.27898,SN2,48.5149
4.35673,SN2,47.2534
4.44226,SN2,45.7722
4.53635,SN2,44.161
4.63984,SN2,42.5388
4.75368,SN2,40.9418
4.87891,SN2,39.3856
5.01665,SN2,37.8834
5.16818,SN2,36.4393
5.33485,SN2,35.0476
5.5182,SN2,33.6988
5.71988,SN2,32.3831
5.92357,SN2,31.1854
6.1293,SN2,30.0773
6.33709,SN2,29.0405
6.54696,SN2,28.058
6.75892,SN2,27.119
6.97301,SN2,26.2157
7.18923,SN2,25.3429
7.40762,SN2,24.4973
7.62819,SN2,23.6762
7.85097,SN2,22.8773
8.07598,SN2,22.0986
8.30323,SN2,21.3402
8.53276,SN2,20.5977
8.76458,SN2,19.8708
8.99872,SN2,19.1593
9.23521,SN2,18.4625
9.47405,SN2,17.7793
9.71529,SN2,17.1093
9.95894,SN2,16.4517
10.205,SN2,15.806
10.4536,SN2,15.1714
10.7046,SN2,14.5478
10.9581,SN2,13.9344
11.2142,SN2,13.331
11.4729,SN2,12.7374
11.7341,SN2,12.1535
11.9979,SN2,11.5789
12.2644,SN2,11.0274
12.5335,SN2,10.5307
12.8054,SN2,10.1036
13.0799,SN2,9.74006
13.3572,SN2,9.42749
13.6373,SN2,9.15431
13.9201,SN2,8.91163
14.2058,SN2,8.69311
14.4944,SN2,8.49397
14.7858,SN2,8.31062
15.0802,SN2,8.14041
15.3775,SN2,7.9812
15.6778,SN2,7.83144
15.981,SN2,7.68996
16.2873,SN2,7.55583
16.5967,SN2,7.42814
16.9092,SN2,7.30621
17.2248,SN2,7.18945
17.5435,SN2,7.07736
17.8654,SN2,6.97141
23.7554,SN2,4.57972
0.164974,SN3,0.0444429
0.167201,SN3,0.127191
0.169398,SN3,0.317951
0.171595,SN3,0.487669
0.175974,SN3,0.799738
0.178177,SN3,0.949175
0.180382,SN3,1.11787
0.182595,SN3,1.27665
0.184806,SN3,1.44819
0.18702,SN3,1.62345
0.189237,SN3,1.80185
0.191455,SN3,1.97492
0.193674,SN3,2.15986
0.195894,SN3,2.34583
0.198117,SN3,2.53755
0.200346,SN3,2.72428
0.202571,SN3,2.92364
0.207031,SN3,3.32282
0.20926,SN3,3.53161
0.211497,SN3,3.73903
0.213724,SN3,3.94954
0.215959,SN3,4.16573
0.218194,SN3,4.38199
0.220426,SN3,4.60135
